Operation,Samples,Before CPU median ms,After CPU median ms,Before CPU p95 ms,After CPU p95 ms,Before projections,After projections,Before Counter remounts,After Counter remounts,Before Presence remounts,After Presence remounts,Before fog builds,After fog builds,Before bounds reads,After bounds reads,Before allocated nodes,After allocated nodes
A select friendly,12,13.144,1.768,16.697,3.505,3,0,27,0,27,0,0,0,N/A,N/A,1121,28
B select combat target,12,15.294,1.54,17.33,3.524,4,0,27,0,27,0,0,0,N/A,N/A,1122,84
C toggle additional attacker,12,14.389,1.578,16.891,1.983,3,0,27,0,27,0,0,0,N/A,N/A,1124,30
D pan 60 pointermoves,12,0.301,0.209,0.801,0.742,0,0,0,0,0,0,0,0,62,0,0,0
E pinch 30 pointermoves,12,1.137,1.321,1.727,2.093,0,0,0,0,0,0,0,0,33,0,0,0
F zoom threshold + wheel,12,1.086,1.179,1.85,2.975,0,0,0,0,0,0,0,0,1,0,0,0
J Models Auto-Off-Auto,12,0.971,1.1,1.247,1.659,0,0,0,0,0,0,0,0,N/A,N/A,0,0
I viewer switch,6,131.408,45.943,137.997,48.7,3,1,27,27,27,27,1,1,N/A,N/A,1251,1286
G accepted move + H visibility change,1,189.187,53.683,189.187,53.683,9,5,27,27,27,27,1,1,N/A,N/A,1126,1153
movement animation frame,24,0.033,0.035,0.102,0.134,0,0,0,0,0,0,0,0,N/A,N/A,1,1
multi-attacker accepted combat,1,58.703,48.246,58.703,48.246,16,10,27,27,26,26,0,0,N/A,N/A,1091,1117
